10001,1684531856000,Đà Nẵng,ReactJs,9,Công nghệ thông tin,junior
10002,1728967885000,Hồ Chí Minh,Java Developer,7,Công nghệ thông tin,fresher
10003,1710471642000,Hà Nội,Frontend Developer,4,Công nghệ thông tin,senior
10004,1685584598000,Đà Nẵng,NodeJs,1,Công nghệ thông tin,middle
10005,1692130903000,Hồ Chí Minh,NodeJs,1,Công nghệ thông tin,senior
10006,1718964365000,Hồ Chí Minh,ReactJs,7,Công nghệ thông tin,intern
10007,1707145415000,Đà Nẵng,Backend Developer,8,Công nghệ thông tin,senior
10008,1727896160000,Hà Nội,NodeJs,4,Công nghệ thông tin,senior
10009,1721417357000,Hà Nội,ReactJs,7,Công nghệ thông tin,junior
10010,1693324165000,Hà Nội,Python Developer,6,Công nghệ thông tin,fresher
10011,1683138819000,Hồ Chí Minh,ReactJs,10,Công nghệ thông tin,junior
10012,1689090303000,Đà Nẵng,NodeJs,8,Công nghệ thông tin,middle
10013,1693165370000,Đà Nẵng,Java Developer,1,Công nghệ thông tin,fresher
10014,1712841976000,Đà Nẵng,Python Developer,9,Công nghệ thông tin,intern
10015,1723184247000,Hồ Chí Minh,NodeJs,7,Công nghệ thông tin,fresher
10016,1708443129000,Đà Nẵng,Frontend Developer,6,Công nghệ thông tin,fresher
10017,1679282870000,Hồ Chí Minh,Data Scientist,4,Công nghệ thông tin,senior
10018,1682252562000,Đà Nẵng,NodeJs,3,Công nghệ thông tin,senior
10019,1714570466000,Đà Nẵng,Java Developer,6,Công nghệ thông tin,junior
10020,1680703847000,Đà Nẵng,NodeJs,5,Công nghệ thông tin,middle
10021,1726870560000,Hồ Chí Minh,ReactJs,10,Công nghệ thông tin,senior
10022,1728354916000,Đà Nẵng,Data Scientist,4,Công nghệ thông tin,intern
10023,1720538520000,Hồ Chí Minh,NodeJs,4,Công nghệ thông tin,senior
10024,1706327723000,Hà Nội,NodeJs,9,Công nghệ thông tin,fresher
10025,1674638929000,Đà Nẵng,DevOps Engineer,5,Công nghệ thông tin,fresher
10026,1685774374000,Hồ Chí Minh,NodeJs,8,Công nghệ thông tin,intern
10027,1697422160000,Hồ Chí Minh,ReactJs,10,Công nghệ thông tin,fresher
10028,1703149895000,Hà Nội,Backend Developer,10,Công nghệ thông tin,junior
10029,1678187523000,Hà Nội,Java Developer,10,Công nghệ thông tin,fresher
10030,1729049147000,Đà Nẵng,DevOps Engineer,4,Công nghệ thông tin,intern
10031,1685188660000,Hồ Chí Minh,ReactJs,6,Công nghệ thông tin,intern
10032,1723797078000,Hồ Chí Minh,Data Scientist,1,Công nghệ thông tin,intern
10033,1732561059000,Hồ Chí Minh,Backend Developer,4,Công nghệ thông tin,fresher
10034,1702571137000,Hồ Chí Minh,DevOps Engineer,1,Công nghệ thông tin,senior
10035,1676219738000,Đà Nẵng,Java Developer,6,Công nghệ thông tin,middle
10036,1722413089000,Hồ Chí Minh,DevOps Engineer,8,Công nghệ thông tin,fresher
10037,1726943914000,Đà Nẵng,Python Developer,7,Công nghệ thông tin,middle
10038,1706366582000,Hà Nội,Backend Developer,4,Công nghệ thông tin,senior
10039,1689316290000,Hồ Chí Minh,Backend Developer,10,Công nghệ thông tin,junior
10040,1707701770000,Hà Nội,Python Developer,4,Công nghệ thông tin,intern
10041,1710343988000,Hà Nội,Data Scientist,9,Công nghệ thông tin,fresher
10042,1706198165000,Đà Nẵng,ReactJs,1,Công nghệ thông tin,senior
10043,1688938523000,Đà Nẵng,Python Developer,9,Công nghệ thông tin,intern
10044,1696667807000,Hà Nội,ReactJs,4,Công nghệ thông tin,fresher
10045,1689650140000,Hồ Chí Minh,Java Developer,6,Công nghệ thông tin,intern
10046,1678692907000,Hà Nội,ReactJs,1,Công nghệ thông tin,junior
10047,1677748976000,Hồ Chí Minh,Data Scientist,6,Công nghệ thông tin,intern
10048,1707169198000,Đà Nẵng,Java Developer,8,Công nghệ thông tin,middle
10049,1707785518000,Đà Nẵng,Python Developer,1,Công nghệ thông tin,senior
10050,1718728183000,Đà Nẵng,Frontend Developer,9,Công nghệ thông tin,senior
10051,1731871545000,Hồ Chí Minh,ReactJs,7,Công nghệ thông tin,fresher
10052,1731688274000,Hà Nội,Data Scientist,8,Công nghệ thông tin,middle
10053,1681744224000,Hồ Chí Minh,Data Scientist,2,Công nghệ thông tin,intern
